City,Year,Data_Type,Mode,Share,Source
Gilroy,2009,Residence,Other,0.025,ACS_B08301_5YR
Gilroy,2009,Residence,Transit,0.029,ACS_B08301_5YR
Gilroy,2009,Residence,Walk,0.026,ACS_B08301_5YR
Gilroy,2009,Residence,Work From Home,0.035,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Bicycle,0.005,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Carpool,0.152,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Drive Alone,0.7,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Other,0.015,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Transit,0.026,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Walk,0.039,ACS_B08301_5YR
Half Moon Bay,2009,Residence,Work From Home,0.064,ACS_B08301_5YR
Hayward,2009,Residence,Bicycle,0.004,ACS_B08301_5YR
Hayward,2009,Residence,Carpool,0.151,ACS_B08301_5YR
Hayward,2009,Residence,Drive Alone,0.704,ACS_B08301_5YR
Hayward,2009,Residence,Other,0.018,ACS_B08301_5YR
Hayward,2009,Residence,Transit,0.078,ACS_B08301_5YR
Hayward,2009,Residence,Walk,0.014,ACS_B08301_5YR
Hayward,2009,Residence,Work From Home,0.03,ACS_B08301_5YR
Healdsburg,2009,Residence,Bicycle,0.004,ACS_B08301_5YR
Healdsburg,2009,Residence,Carpool,0.092,ACS_B08301_5YR
Healdsburg,2009,Residence,Drive Alone,0.761,ACS_B08301_5YR
Healdsburg,2009,Residence,Other,0.006,ACS_B08301_5YR
Healdsburg,2009,Residence,Transit,0.021,ACS_B08301_5YR
Healdsburg,2009,Residence,Walk,0.069,ACS_B08301_5YR
Healdsburg,2009,Residence,Work From Home,0.047,ACS_B08301_5YR
Hercules,2009,Residence,Bicycle,0.001,ACS_B08301_5YR
Hercules,2009,Residence,Carpool,0.189,ACS_B08301_5YR
Hercules,2009,Residence,Drive Alone,0.664,ACS_B08301_5YR
Hercules,2009,Residence,Other,0.012,ACS_B08301_5YR
Hercules,2009,Residence,Transit,0.107,ACS_B08301_5YR
Hercules,2009,Residence,Walk,0.003,ACS_B08301_5YR
Hercules,2009,Residence,Work From Home,0.025,ACS_B08301_5YR
Hillsborough,2009,Residence,Bicycle,0,ACS_B08301_5YR
Hillsborough,2009,Residence,Carpool,0.045,ACS_B08301_5YR
Hillsborough,2009,Residence,Drive Alone,0.795,ACS_B08301_5YR
Hillsborough,2009,Residence,Other,0.003,ACS_B08301_5YR
Hillsborough,2009,Residence,Transit,0.032,ACS_B08301_5YR
Hillsborough,2009,Residence,Walk,0.008,ACS_B08301_5YR
Hillsborough,2009,Residence,Work From Home,0.117,ACS_B08301_5YR
Lafayette,2009,Residence,Bicycle,0.01,ACS_B08301_5YR
Lafayette,2009,Residence,Carpool,0.088,ACS_B08301_5YR
Lafayette,2009,Residence,Drive Alone,0.702,ACS_B08301_5YR
Lafayette,2009,Residence,Other,0.009,ACS_B08301_5YR
Lafayette,2009,Residence,Transit,0.093,ACS_B08301_5YR
Lafayette,2009,Residence,Walk,0.014,ACS_B08301_5YR
Lafayette,2009,Residence,Work From Home,0.083,ACS_B08301_5YR
Larkspur,2009,Residence,Bicycle,0.008,ACS_B08301_5YR
Larkspur,2009,Residence,Carpool,0.058,ACS_B08301_5YR
Larkspur,2009,Residence,Drive Alone,0.7,ACS_B08301_5YR
Larkspur,2009,Residence,Other,0.011,ACS_B08301_5YR
Larkspur,2009,Residence,Transit,0.088,ACS_B08301_5YR
Larkspur,2009,Residence,Walk,0.035,ACS_B08301_5YR
Larkspur,2009,Residence,Work From Home,0.099,ACS_B08301_5YR
Livermore,2009,Residence,Bicycle,0.012,ACS_B08301_5YR
Livermore,2009,Residence,Carpool,0.089,ACS_B08301_5YR
Livermore,2009,Residence,Drive Alone,0.796,ACS_B08301_5YR
Livermore,2009,Residence,Other,0.011,ACS_B08301_5YR
Livermore,2009,Residence,Transit,0.034,ACS_B08301_5YR
Livermore,2009,Residence,Walk,0.016,ACS_B08301_5YR
Livermore,2009,Residence,Work From Home,0.041,ACS_B08301_5YR
Los Altos,2009,Residence,Bicycle,0.017,ACS_B08301_5YR
Los Altos,2009,Residence,Carpool,0.035,ACS_B08301_5YR
Los Altos,2009,Residence,Drive Alone,0.806,ACS_B08301_5YR
Los Altos,2009,Residence,Other,0.005,ACS_B08301_5YR
Los Altos,2009,Residence,Transit,0.012,ACS_B08301_5YR
Los Altos,2009,Residence,Walk,0.014,ACS_B08301_5YR
Los Altos,2009,Residence,Work From Home,0.111,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Bicycle,0.01,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Carpool,0.083,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Drive Alone,0.747,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Other,0.005,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Transit,0.005,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Walk,0.038,ACS_B08301_5YR
Los Altos Hills,2009,Residence,Work From Home,0.111,ACS_B08301_5YR
Los Gatos,2009,Residence,Bicycle,0.007,ACS_B08301_5YR
Los Gatos,2009,Residence,Carpool,0.045,ACS_B08301_5YR
Los Gatos,2009,Residence,Drive Alone,0.841,ACS_B08301_5YR
Los Gatos,2009,Residence,Other,0.012,ACS_B08301_5YR
Los Gatos,2009,Residence,Transit,0.01,ACS_B08301_5YR
Los Gatos,2009,Residence,Walk,0.023,ACS_B08301_5YR
Los Gatos,2009,Residence,Work From Home,0.062,ACS_B08301_5YR
Martinez,2009,Residence,Bicycle,0.005,ACS_B08301_5YR
Martinez,2009,Residence,Carpool,0.102,ACS_B08301_5YR
Martinez,2009,Residence,Drive Alone,0.755,ACS_B08301_5YR
Martinez,2009,Residence,Other,0.011,ACS_B08301_5YR
Martinez,2009,Residence,Transit,0.057,ACS_B08301_5YR
Martinez,2009,Residence,Walk,0.013,ACS_B08301_5YR
Martinez,2009,Residence,Work From Home,0.057,ACS_B08301_5YR
Menlo Park,2009,Residence,Bicycle,0.063,ACS_B08301_5YR
Menlo Park,2009,Residence,Carpool,0.084,ACS_B08301_5YR
Menlo Park,2009,Residence,Drive Alone,0.672,ACS_B08301_5YR
Menlo Park,2009,Residence,Other,0.007,ACS_B08301_5YR
Menlo Park,2009,Residence,Transit,0.058,ACS_B08301_5YR
Menlo Park,2009,Residence,Walk,0.033,ACS_B08301_5YR
Menlo Park,2009,Residence,Work From Home,0.084,ACS_B08301_5YR
Mill Valley,2009,Residence,Bicycle,0.036,ACS_B08301_5YR
Mill Valley,2009,Residence,Carpool,0.05,ACS_B08301_5YR
Mill Valley,2009,Residence,Drive Alone,0.637,ACS_B08301_5YR
Mill Valley,2009,Residence,Other,0.006,ACS_B08301_5YR
Mill Valley,2009,Residence,Transit,0.077,ACS_B08301_5YR
Mill Valley,2009,Residence,Walk,0.031,ACS_B08301_5YR
Mill Valley,2009,Residence,Work From Home,0.163,ACS_B08301_5YR
Millbrae,2009,Residence,Bicycle,0.003,ACS_B08301_5YR
Millbrae,2009,Residence,Carpool,0.168,ACS_B08301_5YR
Millbrae,2009,Residence,Drive Alone,0.679,ACS_B08301_5YR
Millbrae,2009,Residence,Other,0.008,ACS_B08301_5YR
Millbrae,2009,Residence,Transit,0.078,ACS_B08301_5YR
Millbrae,2009,Residence,Walk,0.025,ACS_B08301_5YR
Millbrae,2009,Residence,Work From Home,0.039,ACS_B08301_5YR
Milpitas,2009,Residence,Bicycle,0.006,ACS_B08301_5YR
Milpitas,2009,Residence,Carpool,0.118,ACS_B08301_5YR
Milpitas,2009,Residence,Drive Alone,0.802,ACS_B08301_5YR
Milpitas,2009,Residence,Other,0.019,ACS_B08301_5YR
Milpitas,2009,Residence,Transit,0.021,ACS_B08301_5YR
Milpitas,2009,Residence,Walk,0.013,ACS_B08301_5YR
Milpitas,2009,Residence,Work From Home,0.021,ACS_B08301_5YR
Monte Sereno,2009,Residence,Bicycle,0.006,ACS_B08301_5YR
Monte Sereno,2009,Residence,Carpool,0.037,ACS_B08301_5YR
Monte Sereno,2009,Residence,Drive Alone,0.829,ACS_B08301_5YR
Monte Sereno,2009,Residence,Other,0,ACS_B08301_5YR
Monte Sereno,2009,Residence,Transit,0,ACS_B08301_5YR
Monte Sereno,2009,Residence,Walk,0.014,ACS_B08301_5YR
Monte Sereno,2009,Residence,Work From Home,0.114,ACS_B08301_5YR
Moraga,2009,Residence,Bicycle,0,ACS_B08301_5YR
Moraga,2009,Residence,Carpool,0.071,ACS_B08301_5YR
Moraga,2009,Residence,Drive Alone,0.709,ACS_B08301_5YR
Moraga,2009,Residence,Other,0.008,ACS_B08301_5YR
Moraga,2009,Residence,Transit,0.119,ACS_B08301_5YR
Moraga,2009,Residence,Walk,0.027,ACS_B08301_5YR
Moraga,2009,Residence,Work From Home,0.067,ACS_B08301_5YR
Morgan Hill,2009,Residence,Bicycle,0.003,ACS_B08301_5YR
Morgan Hill,2009,Residence,Carpool,0.114,ACS_B08301_5YR
Morgan Hill,2009,Residence,Drive Alone,0.771,ACS_B08301_5YR
Morgan Hill,2009,Residence,Other,0.011,ACS_B08301_5YR
Morgan Hill,2009,Residence,Transit,0.018,ACS_B08301_5YR
Morgan Hill,2009,Residence,Walk,0.027,ACS_B08301_5YR
Morgan Hill,2009,Residence,Work From Home,0.056,ACS_B08301_5YR
Mountain View,2009,Residence,Bicycle,0.032,ACS_B08301_5YR
Mountain View,2009,Residence,Carpool,0.081,ACS_B08301_5YR
Mountain View,2009,Residence,Drive Alone,0.741,ACS_B08301_5YR
Mountain View,2009,Residence,Other,0.022,ACS_B08301_5YR
Mountain View,2009,Residence,Transit,0.058,ACS_B08301_5YR
Mountain View,2009,Residence,Walk,0.023,ACS_B08301_5YR
Mountain View,2009,Residence,Work From Home,0.043,ACS_B08301_5YR
Napa,2009,Residence,Bicycle,0.009,ACS_B08301_5YR
Napa,2009,Residence,Carpool,0.132,ACS_B08301_5YR
Napa,2009,Residence,Drive Alone,0.749,ACS_B08301_5YR
Napa,2009,Residence,Other,0.022,ACS_B08301_5YR
Napa,2009,Residence,Transit,0.031,ACS_B08301_5YR
Napa,2009,Residence,Walk,0.021,ACS_B08301_5YR
Napa,2009,Residence,Work From Home,0.035,ACS_B08301_5YR
Newark,2009,Residence,Bicycle,0.003,ACS_B08301_5YR
Newark,2009,Residence,Carpool,0.121,ACS_B08301_5YR
Newark,2009,Residence,Drive Alone,0.799,ACS_B08301_5YR
Newark,2009,Residence,Other,0.012,ACS_B08301_5YR
Newark,2009,Residence,Transit,0.031,ACS_B08301_5YR
Newark,2009,Residence,Walk,0.011,ACS_B08301_5YR
Newark,2009,Residence,Work From Home,0.023,ACS_B08301_5YR
Novato,2009,Residence,Bicycle,0.009,ACS_B08301_5YR
Novato,2009,Residence,Carpool,0.105,ACS_B08301_5YR
Novato,2009,Residence,Drive Alone,0.742,ACS_B08301_5YR
Novato,2009,Residence,Other,0.013,ACS_B08301_5YR
Novato,2009,Residence,Transit,0.05,ACS_B08301_5YR
Novato,2009,Residence,Walk,0.009,ACS_B08301_5YR
Novato,2009,Residence,Work From Home,0.072,ACS_B08301_5YR
Oakland,2009,Residence,Bicycle,0.021,ACS_B08301_5YR
Oakland,2009,Residence,Carpool,0.108,ACS_B08301_5YR
Oakland,2009,Residence,Drive Alone,0.576,ACS_B08301_5YR
Oakland,2009,Residence,Other,0.024,ACS_B08301_5YR
Oakland,2009,Residence,Transit,0.17,ACS_B08301_5YR
Oakland,2009,Residence,Walk,0.043,ACS_B08301_5YR
Oakland,2009,Residence,Work From Home,0.059,ACS_B08301_5YR
Oakley,2009,Residence,Bicycle,0.005,ACS_B08301_5YR
Oakley,2009,Residence,Carpool,0.127,ACS_B08301_5YR
Oakley,2009,Residence,Drive Alone,0.778,ACS_B08301_5YR
Oakley,2009,Residence,Other,0.015,ACS_B08301_5YR
Oakley,2009,Residence,Transit,0.033,ACS_B08301_5YR
Oakley,2009,Residence,Walk,0.012,ACS_B08301_5YR
Oakley,2009,Residence,Work From Home,0.029,ACS_B08301_5YR
Orinda,2009,Residence,Bicycle,0.006,ACS_B08301_5YR
Orinda,2009,Residence,Carpool,0.046,ACS_B08301_5YR
Orinda,2009,Residence,Drive Alone,0.67,ACS_B08301_5YR
Orinda,2009,Residence,Other,0.02,ACS_B08301_5YR
Orinda,2009,Residence,Transit,0.129,ACS_B08301_5YR
Orinda,2009,Residence,Walk,0.02,ACS_B08301_5YR
Orinda,2009,Residence,Work From Home,0.109,ACS_B08301_5YR
Pacifica,2009,Residence,Bicycle,0.004,ACS_B08301_5YR
